model,protocol,setting,log10_lo,log10_hi,n_problem_runs
DeepSeek-V4-flash,code,non-reasoning,2.1,2.2,51
DeepSeek-V4-flash,code,non-reasoning,2.2,2.3,75
DeepSeek-V4-flash,code,non-reasoning,2.3,2.4,143
DeepSeek-V4-flash,code,non-reasoning,2.4,2.5,219
DeepSeek-V4-flash,code,non-reasoning,2.5,2.6,213
DeepSeek-V4-flash,code,non-reasoning,2.6,2.7,196
DeepSeek-V4-flash,code,non-reasoning,2.7,2.8,130
DeepSeek-V4-flash,code,non-reasoning,2.8,2.9,117
DeepSeek-V4-flash,code,non-reasoning,2.9,3.0,63
DeepSeek-V4-flash,code,non-reasoning,3.0,3.1,43
DeepSeek-V4-flash,code,non-reasoning,3.1,3.2,31
DeepSeek-V4-flash,code,non-reasoning,3.2,3.3,10
DeepSeek-V4-flash,code,non-reasoning,3.3,3.4,2
DeepSeek-V4-flash,code,non-reasoning,3.4,3.5,1
DeepSeek-V4-flash,code,non-reasoning,3.5,3.6,3
DeepSeek-V4-flash,code,non-reasoning,3.6,3.7,1
DeepSeek-V4-flash,code,non-reasoning,3.7,3.8,0
DeepSeek-V4-flash,code,non-reasoning,3.8,3.9,0
DeepSeek-V4-flash,code,non-reasoning,3.9,4.0,0
DeepSeek-V4-flash,code,non-reasoning,4.0,4.1,0
DeepSeek-V4-flash,code,non-reasoning,4.1,4.2,0
DeepSeek-V4-flash,code,non-reasoning,4.2,4.3,0
DeepSeek-V4-flash,code,non-reasoning,4.3,4.4,0
DeepSeek-V4-flash,code,non-reasoning,4.4,4.5,0
DeepSeek-V4-flash,code,non-reasoning,4.5,4.6,0
DeepSeek-V4-flash,code,non-reasoning,4.6,4.7,0
DeepSeek-V4-flash,code,non-reasoning,4.7,4.8,0
DeepSeek-V4-flash,code,non-reasoning,4.8,4.9,0
DeepSeek-V4-flash,code,non-reasoning,4.9,5.0,0
DeepSeek-V4-flash,code,non-reasoning,5.0,5.1,0
DeepSeek-V4-flash,code,non-reasoning,5.1,5.2,0
DeepSeek-V4-flash,code,non-reasoning,5.2,5.3,0
DeepSeek-V4-flash,code,non-reasoning,5.3,5.4,0
DeepSeek-V4-flash,code,non-reasoning,5.4,5.5,0
DeepSeek-V4-flash,code,non-reasoning,5.5,5.6,0
Qwen-3.6-27B,code,non-reasoning,1.7,1.8,0
Qwen-3.6-27B,code,non-reasoning,1.8,1.9,0
Qwen-3.6-27B,code,non-reasoning,1.9,2.0,0
Qwen-3.6-27B,code,non-reasoning,2.0,2.1,0
Qwen-3.6-27B,code,non-reasoning,2.1,2.2,1
Qwen-3.6-27B,code,non-reasoning,2.2,2.3,11
Qwen-3.6-27B,code,non-reasoning,2.3,2.4,58
Qwen-3.6-27B,code,non-reasoning,2.4,2.5,92
Qwen-3.6-27B,code,non-reasoning,2.5,2.6,142
Qwen-3.6-27B,code,non-reasoning,2.6,2.7,201
Qwen-3.6-27B,code,non-reasoning,2.7,2.8,183
Qwen-3.6-27B,code,non-reasoning,2.8,2.9,133
Qwen-3.6-27B,code,non-reasoning,2.9,3.0,103
Qwen-3.6-27B,code,non-reasoning,3.0,3.1,83
Qwen-3.6-27B,code,non-reasoning,3.1,3.2,60
Qwen-3.6-27B,code,non-reasoning,3.2,3.3,52
Qwen-3.6-27B,code,non-reasoning,3.3,3.4,42
Qwen-3.6-27B,code,non-reasoning,3.4,3.5,35
Qwen-3.6-27B,code,non-reasoning,3.5,3.6,27
Qwen-3.6-27B,code,non-reasoning,3.6,3.7,31
Qwen-3.6-27B,code,non-reasoning,3.7,3.8,25
Qwen-3.6-27B,code,non-reasoning,3.8,3.9,17
Qwen-3.6-27B,code,non-reasoning,3.9,4.0,6
Qwen-3.6-27B,code,non-reasoning,4.0,4.1,2
Qwen-3.6-27B,code,non-reasoning,4.1,4.2,0
Qwen-3.6-27B,code,non-reasoning,4.2,4.3,1
Qwen-3.6-27B,code,non-reasoning,4.3,4.4,2
Qwen-3.6-27B,code,non-reasoning,4.4,4.5,1
Qwen-3.6-27B,code,non-reasoning,4.5,4.6,0
Qwen-3.6-27B,code,non-reasoning,4.6,4.7,0
Qwen-3.6-27B,code,non-reasoning,4.7,4.8,0
Qwen-3.6-27B,code,non-reasoning,4.8,4.9,0
Qwen-3.6-27B,code,non-reasoning,4.9,5.0,0
Qwen-3.6-27B,code,non-reasoning,5.0,5.1,0
Qwen-3.6-27B,code,non-reasoning,5.1,5.2,0
Qwen-3.6-27B,code,non-reasoning,5.2,5.3,0
Qwen-3.6-27B,code,non-reasoning,5.3,5.4,0
Qwen-3.6-27B,code,non-reasoning,5.4,5.5,0
Qwen-3.6-27B,code,non-reasoning,5.5,5.6,0
Qwen-3.5-9B (reasoning),code,reasoning,1.7,1.8,0
Qwen-3.5-9B (reasoning),code,reasoning,1.8,1.9,0
Qwen-3.5-9B (reasoning),code,reasoning,1.9,2.0,0
Qwen-3.5-9B (reasoning),code,reasoning,2.0,2.1,0
Qwen-3.5-9B (reasoning),code,reasoning,2.1,2.2,0
Qwen-3.5-9B (reasoning),code,reasoning,2.2,2.3,0
Qwen-3.5-9B (reasoning),code,reasoning,2.3,2.4,0
Qwen-3.5-9B (reasoning),code,reasoning,2.4,2.5,0
Qwen-3.5-9B (reasoning),code,reasoning,2.5,2.6,0
Qwen-3.5-9B (reasoning),code,reasoning,2.6,2.7,0
Qwen-3.5-9B (reasoning),code,reasoning,2.7,2.8,2
Qwen-3.5-9B (reasoning),code,reasoning,2.8,2.9,21
Qwen-3.5-9B (reasoning),code,reasoning,2.9,3.0,31
Qwen-3.5-9B (reasoning),code,reasoning,3.0,3.1,65
Qwen-3.5-9B (reasoning),code,reasoning,3.1,3.2,50
Qwen-3.5-9B (reasoning),code,reasoning,3.2,3.3,33
Qwen-3.5-9B (reasoning),code,reasoning,3.3,3.4,32
Qwen-3.5-9B (reasoning),code,reasoning,3.4,3.5,35
Qwen-3.5-9B (reasoning),code,reasoning,3.5,3.6,67
Qwen-3.5-9B (reasoning),code,reasoning,3.6,3.7,96
Qwen-3.5-9B (reasoning),code,reasoning,3.7,3.8,133
Qwen-3.5-9B (reasoning),code,reasoning,3.8,3.9,110
Qwen-3.5-9B (reasoning),code,reasoning,3.9,4.0,73
Qwen-3.5-9B (reasoning),code,reasoning,4.0,4.1,58
Qwen-3.5-9B (reasoning),code,reasoning,4.1,4.2,32
Qwen-3.5-9B (reasoning),code,reasoning,4.2,4.3,3
Qwen-3.5-9B (reasoning),code,reasoning,4.3,4.4,3
Qwen-3.5-9B (reasoning),code,reasoning,4.4,4.5,135
Qwen-3.5-9B (reasoning),code,reasoning,4.5,4.6,196
Qwen-3.5-9B (reasoning),code,reasoning,4.6,4.7,4
Qwen-3.5-9B (reasoning),code,reasoning,4.7,4.8,51
Qwen-3.5-9B (reasoning),code,reasoning,4.8,4.9,17
Qwen-3.5-9B (reasoning),code,reasoning,4.9,5.0,15
Qwen-3.5-9B (reasoning),code,reasoning,5.0,5.1,3
Qwen-3.5-9B (reasoning),code,reasoning,5.1,5.2,42
Qwen-3.5-9B (reasoning),code,reasoning,5.2,5.3,1
Qwen-3.5-9B (reasoning),code,reasoning,5.3,5.4,0
Qwen-3.5-9B (reasoning),code,reasoning,5.4,5.5,0
Qwen-3.5-9B (reasoning),code,reasoning,5.5,5.6,0
Qwen-3.5-9B,code,non-reasoning,1.7,1.8,0
Qwen-3.5-9B,code,non-reasoning,1.8,1.9,0
Qwen-3.5-9B,code,non-reasoning,1.9,2.0,0
Qwen-3.5-9B,code,non-reasoning,2.0,2.1,0
Qwen-3.5-9B,code,non-reasoning,2.1,2.2,0
Qwen-3.5-9B,code,non-reasoning,2.2,2.3,1
Qwen-3.5-9B,code,non-reasoning,2.3,2.4,26
Qwen-3.5-9B,code,non-reasoning,2.4,2.5,72
Qwen-3.5-9B,code,non-reasoning,2.5,2.6,91
Qwen-3.5-9B,code,non-reasoning,2.6,2.7,124
Qwen-3.5-9B,code,non-reasoning,2.7,2.8,150
Qwen-3.5-9B,code,non-reasoning,2.8,2.9,127
Qwen-3.5-9B,code,non-reasoning,2.9,3.0,124
Qwen-3.5-9B,code,non-reasoning,3.0,3.1,100
Qwen-3.5-9B,code,non-reasoning,3.1,3.2,76
Qwen-3.5-9B,code,non-reasoning,3.2,3.3,71
Qwen-3.5-9B,code,non-reasoning,3.3,3.4,66
Qwen-3.5-9B,code,non-reasoning,3.4,3.5,51
Qwen-3.5-9B,code,non-reasoning,3.5,3.6,34
Qwen-3.5-9B,code,non-reasoning,3.6,3.7,41
Qwen-3.5-9B,code,non-reasoning,3.7,3.8,32
Qwen-3.5-9B,code,non-reasoning,3.8,3.9,29
Qwen-3.5-9B,code,non-reasoning,3.9,4.0,35
Qwen-3.5-9B,code,non-reasoning,4.0,4.1,21
Qwen-3.5-9B,code,non-reasoning,4.1,4.2,18
Qwen-3.5-9B,code,non-reasoning,4.2,4.3,8
Qwen-3.5-9B,code,non-reasoning,4.3,4.4,4
Qwen-3.5-9B,code,non-reasoning,4.4,4.5,0
Qwen-3.5-9B,code,non-reasoning,4.5,4.6,2
Qwen-3.5-9B,code,non-reasoning,4.6,4.7,0
Qwen-3.5-9B,code,non-reasoning,4.7,4.8,1
Qwen-3.5-9B,code,non-reasoning,4.8,4.9,4
Qwen-3.5-9B,code,non-reasoning,4.9,5.0,0
Qwen-3.5-9B,code,non-reasoning,5.0,5.1,0
Qwen-3.5-9B,code,non-reasoning,5.1,5.2,0
Qwen-3.5-9B,code,non-reasoning,5.2,5.3,0
Qwen-3.5-9B,code,non-reasoning,5.3,5.4,0
Qwen-3.5-9B,code,non-reasoning,5.4,5.5,0
Qwen-3.5-9B,code,non-reasoning,5.5,5.6,0
Qwen-2.5-72B,code,non-reasoning,1.7,1.8,0
Qwen-2.5-72B,code,non-reasoning,1.8,1.9,1
Qwen-2.5-72B,code,non-reasoning,1.9,2.0,3
Qwen-2.5-72B,code,non-reasoning,2.0,2.1,17
Qwen-2.5-72B,code,non-reasoning,2.1,2.2,26
Qwen-2.5-72B,code,non-reasoning,2.2,2.3,78
Qwen-2.5-72B,code,non-reasoning,2.3,2.4,188
Qwen-2.5-72B,code,non-reasoning,2.4,2.5,231
Qwen-2.5-72B,code,non-reasoning,2.5,2.6,275
Qwen-2.5-72B,code,non-reasoning,2.6,2.7,203
Qwen-2.5-72B,code,non-reasoning,2.7,2.8,127
Qwen-2.5-72B,code,non-reasoning,2.8,2.9,72
Qwen-2.5-72B,code,non-reasoning,2.9,3.0,39
Qwen-2.5-72B,code,non-reasoning,3.0,3.1,20
Qwen-2.5-72B,code,non-reasoning,3.1,3.2,6
Qwen-2.5-72B,code,non-reasoning,3.2,3.3,7
Qwen-2.5-72B,code,non-reasoning,3.3,3.4,6
Qwen-2.5-72B,code,non-reasoning,3.4,3.5,2
Qwen-2.5-72B,code,non-reasoning,3.5,3.6,1
Qwen-2.5-72B,code,non-reasoning,3.6,3.7,4
Qwen-2.5-72B,code,non-reasoning,3.7,3.8,1
Qwen-2.5-72B,code,non-reasoning,3.8,3.9,0
Qwen-2.5-72B,code,non-reasoning,3.9,4.0,0
Qwen-2.5-72B,code,non-reasoning,4.0,4.1,0
Qwen-2.5-72B,code,non-reasoning,4.1,4.2,0
Qwen-2.5-72B,code,non-reasoning,4.2,4.3,1
Qwen-2.5-72B,code,non-reasoning,4.3,4.4,0
Qwen-2.5-72B,code,non-reasoning,4.4,4.5,0
Qwen-2.5-72B,code,non-reasoning,4.5,4.6,0
Qwen-2.5-72B,code,non-reasoning,4.6,4.7,0
Qwen-2.5-72B,code,non-reasoning,4.7,4.8,0
Qwen-2.5-72B,code,non-reasoning,4.8,4.9,0
Qwen-2.5-72B,code,non-reasoning,4.9,5.0,0
Qwen-2.5-72B,code,non-reasoning,5.0,5.1,0
Qwen-2.5-72B,code,non-reasoning,5.1,5.2,0
Qwen-2.5-72B,code,non-reasoning,5.2,5.3,0
Qwen-2.5-72B,code,non-reasoning,5.3,5.4,0
Qwen-2.5-72B,code,non-reasoning,5.4,5.5,0
Qwen-2.5-72B,code,non-reasoning,5.5,5.6,0
gpt-5.5 (reasoning),direct,reasoning,1.7,1.8,0
gpt-5.5 (reasoning),direct,reasoning,1.8,1.9,0
gpt-5.5 (reasoning),direct,reasoning,1.9,2.0,0
gpt-5.5 (reasoning),direct,reasoning,2.0,2.1,0
gpt-5.5 (reasoning),direct,reasoning,2.1,2.2,2
gpt-5.5 (reasoning),direct,reasoning,2.2,2.3,8
gpt-5.5 (reasoning),direct,reasoning,2.3,2.4,27
gpt-5.5 (reasoning),direct,reasoning,2.4,2.5,100
gpt-5.5 (reasoning),direct,reasoning,2.5,2.6,214
gpt-5.5 (reasoning),direct,reasoning,2.6,2.7,222
gpt-5.5 (reasoning),direct,reasoning,2.7,2.8,220
gpt-5.5 (reasoning),direct,reasoning,2.8,2.9,198
gpt-5.5 (reasoning),direct,reasoning,2.9,3.0,141
gpt-5.5 (reasoning),direct,reasoning,3.0,3.1,92
gpt-5.5 (reasoning),direct,reasoning,3.1,3.2,50
gpt-5.5 (reasoning),direct,reasoning,3.2,3.3,20
gpt-5.5 (reasoning),direct,reasoning,3.3,3.4,7
gpt-5.5 (reasoning),direct,reasoning,3.4,3.5,0
gpt-5.5 (reasoning),direct,reasoning,3.5,3.6,0
gpt-5.5 (reasoning),direct,reasoning,3.6,3.7,0
gpt-5.5 (reasoning),direct,reasoning,3.7,3.8,0
gpt-5.5 (reasoning),direct,reasoning,3.8,3.9,0
gpt-5.5 (reasoning),direct,reasoning,3.9,4.0,0
gpt-5.5 (reasoning),direct,reasoning,4.0,4.1,0
gpt-5.5 (reasoning),direct,reasoning,4.1,4.2,0
gpt-5.5 (reasoning),direct,reasoning,4.2,4.3,0
gpt-5.5 (reasoning),direct,reasoning,4.3,4.4,0
gpt-5.5 (reasoning),direct,reasoning,4.4,4.5,0
gpt-5.5 (reasoning),direct,reasoning,4.5,4.6,0
gpt-5.5 (reasoning),direct,reasoning,4.6,4.7,0
gpt-5.5 (reasoning),direct,reasoning,4.7,4.8,0
gpt-5.5 (reasoning),direct,reasoning,4.8,4.9,0
gpt-5.5 (reasoning),direct,reasoning,4.9,5.0,0
gpt-5.5 (reasoning),direct,reasoning,5.0,5.1,0
gpt-5.5 (reasoning),direct,reasoning,5.1,5.2,0
gpt-5.5 (reasoning),direct,reasoning,5.2,5.3,0
gpt-5.5 (reasoning),direct,reasoning,5.3,5.4,0
gpt-5.5 (reasoning),direct,reasoning,5.4,5.5,0
gpt-5.5 (reasoning),direct,reasoning,5.5,5.6,0
DeepSeek-V4-flash (reasoning),direct,reasoning,1.7,1.8,0
DeepSeek-V4-flash (reasoning),direct,reasoning,1.8,1.9,0
DeepSeek-V4-flash (reasoning),direct,reasoning,1.9,2.0,0
DeepSeek-V4-flash (reasoning),direct,reasoning,2.0,2.1,0
DeepSeek-V4-flash (reasoning),direct,reasoning,2.1,2.2,0
DeepSeek-V4-flash (reasoning),direct,reasoning,2.2,2.3,0
DeepSeek-V4-flash (reasoning),direct,reasoning,2.3,2.4,0
DeepSeek-V4-flash (reasoning),direct,reasoning,2.4,2.5,0
DeepSeek-V4-flash (reasoning),direct,reasoning,2.5,2.6,1
DeepSeek-V4-flash (reasoning),direct,reasoning,2.6,2.7,8
DeepSeek-V4-flash (reasoning),direct,reasoning,2.7,2.8,17
DeepSeek-V4-flash (reasoning),direct,reasoning,2.8,2.9,29
DeepSeek-V4-flash (reasoning),direct,reasoning,2.9,3.0,41
DeepSeek-V4-flash (reasoning),direct,reasoning,3.0,3.1,58
DeepSeek-V4-flash (reasoning),direct,reasoning,3.1,3.2,105
DeepSeek-V4-flash (reasoning),direct,reasoning,3.2,3.3,97
DeepSeek-V4-flash (reasoning),direct,reasoning,3.3,3.4,101
DeepSeek-V4-flash (reasoning),direct,reasoning,3.4,3.5,113
DeepSeek-V4-flash (reasoning),direct,reasoning,3.5,3.6,124
DeepSeek-V4-flash (reasoning),direct,reasoning,3.6,3.7,107
DeepSeek-V4-flash (reasoning),direct,reasoning,3.7,3.8,115
DeepSeek-V4-flash (reasoning),direct,reasoning,3.8,3.9,98
DeepSeek-V4-flash (reasoning),direct,reasoning,3.9,4.0,89
DeepSeek-V4-flash (reasoning),direct,reasoning,4.0,4.1,87
DeepSeek-V4-flash (reasoning),direct,reasoning,4.1,4.2,57
DeepSeek-V4-flash (reasoning),direct,reasoning,4.2,4.3,25
DeepSeek-V4-flash (reasoning),direct,reasoning,4.3,4.4,17
DeepSeek-V4-flash (reasoning),direct,reasoning,4.4,4.5,6
DeepSeek-V4-flash (reasoning),direct,reasoning,4.5,4.6,0
DeepSeek-V4-flash (reasoning),direct,reasoning,4.6,4.7,0
DeepSeek-V4-flash (reasoning),direct,reasoning,4.7,4.8,2
DeepSeek-V4-flash (reasoning),direct,reasoning,4.8,4.9,6
DeepSeek-V4-flash (reasoning),direct,reasoning,4.9,5.0,0
DeepSeek-V4-flash (reasoning),direct,reasoning,5.0,5.1,2
DeepSeek-V4-flash (reasoning),direct,reasoning,5.1,5.2,2
DeepSeek-V4-flash (reasoning),direct,reasoning,5.2,5.3,1
DeepSeek-V4-flash (reasoning),direct,reasoning,5.3,5.4,0
DeepSeek-V4-flash (reasoning),direct,reasoning,5.4,5.5,0
DeepSeek-V4-flash (reasoning),direct,reasoning,5.5,5.6,0
gpt-5.5,direct,non-reasoning,1.7,1.8,0
gpt-5.5,direct,non-reasoning,1.8,1.9,0
gpt-5.5,direct,non-reasoning,1.9,2.0,0
gpt-5.5,direct,non-reasoning,2.0,2.1,1
gpt-5.5,direct,non-reasoning,2.1,2.2,2
gpt-5.5,direct,non-reasoning,2.2,2.3,27
gpt-5.5,direct,non-reasoning,2.3,2.4,102
gpt-5.5,direct,non-reasoning,2.4,2.5,179
gpt-5.5,direct,non-reasoning,2.5,2.6,264
gpt-5.5,direct,non-reasoning,2.6,2.7,230
gpt-5.5,direct,non-reasoning,2.7,2.8,188
gpt-5.5,direct,non-reasoning,2.8,2.9,122
gpt-5.5,direct,non-reasoning,2.9,3.0,79
gpt-5.5,direct,non-reasoning,3.0,3.1,61
gpt-5.5,direct,non-reasoning,3.1,3.2,23
gpt-5.5,direct,non-reasoning,3.2,3.3,22
gpt-5.5,direct,non-reasoning,3.3,3.4,8
gpt-5.5,direct,non-reasoning,3.4,3.5,0
gpt-5.5,direct,non-reasoning,3.5,3.6,0
gpt-5.5,direct,non-reasoning,3.6,3.7,0
gpt-5.5,direct,non-reasoning,3.7,3.8,0
gpt-5.5,direct,non-reasoning,3.8,3.9,0
gpt-5.5,direct,non-reasoning,3.9,4.0,0
gpt-5.5,direct,non-reasoning,4.0,4.1,0
gpt-5.5,direct,non-reasoning,4.1,4.2,0
gpt-5.5,direct,non-reasoning,4.2,4.3,0
gpt-5.5,direct,non-reasoning,4.3,4.4,0
gpt-5.5,direct,non-reasoning,4.4,4.5,0
gpt-5.5,direct,non-reasoning,4.5,4.6,0
gpt-5.5,direct,non-reasoning,4.6,4.7,0
gpt-5.5,direct,non-reasoning,4.7,4.8,0
gpt-5.5,direct,non-reasoning,4.8,4.9,0
gpt-5.5,direct,non-reasoning,4.9,5.0,0
gpt-5.5,direct,non-reasoning,5.0,5.1,0
gpt-5.5,direct,non-reasoning,5.1,5.2,0
gpt-5.5,direct,non-reasoning,5.2,5.3,0
gpt-5.5,direct,non-reasoning,5.3,5.4,0
gpt-5.5,direct,non-reasoning,5.4,5.5,0
gpt-5.5,direct,non-reasoning,5.5,5.6,0
Qwen-3.6-27B (reasoning),direct,reasoning,1.7,1.8,0
Qwen-3.6-27B (reasoning),direct,reasoning,1.8,1.9,0
Qwen-3.6-27B (reasoning),direct,reasoning,1.9,2.0,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.0,2.1,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.1,2.2,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.2,2.3,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.3,2.4,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.4,2.5,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.5,2.6,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.6,2.7,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.7,2.8,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.8,2.9,0
Qwen-3.6-27B (reasoning),direct,reasoning,2.9,3.0,0
Qwen-3.6-27B (reasoning),direct,reasoning,3.0,3.1,0
Qwen-3.6-27B (reasoning),direct,reasoning,3.1,3.2,0
Qwen-3.6-27B (reasoning),direct,reasoning,3.2,3.3,0
Qwen-3.6-27B (reasoning),direct,reasoning,3.3,3.4,0
Qwen-3.6-27B (reasoning),direct,reasoning,3.4,3.5,1
Qwen-3.6-27B (reasoning),direct,reasoning,3.5,3.6,1
Qwen-3.6-27B (reasoning),direct,reasoning,3.6,3.7,1
Qwen-3.6-27B (reasoning),direct,reasoning,3.7,3.8,15
Qwen-3.6-27B (reasoning),direct,reasoning,3.8,3.9,87
Qwen-3.6-27B (reasoning),direct,reasoning,3.9,4.0,160
Qwen-3.6-27B (reasoning),direct,reasoning,4.0,4.1,232
Qwen-3.6-27B (reasoning),direct,reasoning,4.1,4.2,224
Qwen-3.6-27B (reasoning),direct,reasoning,4.2,4.3,201
Qwen-3.6-27B (reasoning),direct,reasoning,4.3,4.4,131
Qwen-3.6-27B (reasoning),direct,reasoning,4.4,4.5,56
Qwen-3.6-27B (reasoning),direct,reasoning,4.5,4.6,10
Qwen-3.6-27B (reasoning),direct,reasoning,4.6,4.7,1
Qwen-3.6-27B (reasoning),direct,reasoning,4.7,4.8,122
Qwen-3.6-27B (reasoning),direct,reasoning,4.8,4.9,47
Qwen-3.6-27B (reasoning),direct,reasoning,4.9,5.0,9
Qwen-3.6-27B (reasoning),direct,reasoning,5.0,5.1,4
Qwen-3.6-27B (reasoning),direct,reasoning,5.1,5.2,4
Qwen-3.6-27B (reasoning),direct,reasoning,5.2,5.3,1
Qwen-3.6-27B (reasoning),direct,reasoning,5.3,5.4,1
Qwen-3.6-27B (reasoning),direct,reasoning,5.4,5.5,0
Qwen-3.6-27B (reasoning),direct,reasoning,5.5,5.6,0
DeepSeek-V4-flash,direct,non-reasoning,1.7,1.8,0
DeepSeek-V4-flash,direct,non-reasoning,1.8,1.9,0
DeepSeek-V4-flash,direct,non-reasoning,1.9,2.0,0
DeepSeek-V4-flash,direct,non-reasoning,2.0,2.1,0
DeepSeek-V4-flash,direct,non-reasoning,2.1,2.2,0
DeepSeek-V4-flash,direct,non-reasoning,2.2,2.3,1
DeepSeek-V4-flash,direct,non-reasoning,2.3,2.4,14
DeepSeek-V4-flash,direct,non-reasoning,2.4,2.5,51
DeepSeek-V4-flash,direct,non-reasoning,2.5,2.6,72
DeepSeek-V4-flash,direct,non-reasoning,2.6,2.7,152
DeepSeek-V4-flash,direct,non-reasoning,2.7,2.8,223
DeepSeek-V4-flash,direct,non-reasoning,2.8,2.9,215
DeepSeek-V4-flash,direct,non-reasoning,2.9,3.0,184
DeepSeek-V4-flash,direct,non-reasoning,3.0,3.1,132
DeepSeek-V4-flash,direct,non-reasoning,3.1,3.2,107
DeepSeek-V4-flash,direct,non-reasoning,3.2,3.3,97
DeepSeek-V4-flash,direct,non-reasoning,3.3,3.4,26
DeepSeek-V4-flash,direct,non-reasoning,3.4,3.5,19
DeepSeek-V4-flash,direct,non-reasoning,3.5,3.6,9
DeepSeek-V4-flash,direct,non-reasoning,3.6,3.7,4
DeepSeek-V4-flash,direct,non-reasoning,3.7,3.8,2
DeepSeek-V4-flash,direct,non-reasoning,3.8,3.9,0
DeepSeek-V4-flash,direct,non-reasoning,3.9,4.0,0
DeepSeek-V4-flash,direct,non-reasoning,4.0,4.1,0
DeepSeek-V4-flash,direct,non-reasoning,4.1,4.2,0
DeepSeek-V4-flash,direct,non-reasoning,4.2,4.3,0
DeepSeek-V4-flash,direct,non-reasoning,4.3,4.4,0
DeepSeek-V4-flash,direct,non-reasoning,4.4,4.5,0
DeepSeek-V4-flash,direct,non-reasoning,4.5,4.6,0
DeepSeek-V4-flash,direct,non-reasoning,4.6,4.7,0
DeepSeek-V4-flash,direct,non-reasoning,4.7,4.8,0
DeepSeek-V4-flash,direct,non-reasoning,4.8,4.9,0
DeepSeek-V4-flash,direct,non-reasoning,4.9,5.0,0
DeepSeek-V4-flash,direct,non-reasoning,5.0,5.1,0
DeepSeek-V4-flash,direct,non-reasoning,5.1,5.2,0
DeepSeek-V4-flash,direct,non-reasoning,5.2,5.3,0
DeepSeek-V4-flash,direct,non-reasoning,5.3,5.4,0
DeepSeek-V4-flash,direct,non-reasoning,5.4,5.5,0
DeepSeek-V4-flash,direct,non-reasoning,5.5,5.6,0
Qwen-3.6-27B,direct,non-reasoning,1.7,1.8,0
Qwen-3.6-27B,direct,non-reasoning,1.8,1.9,0
Qwen-3.6-27B,direct,non-reasoning,1.9,2.0,0
Qwen-3.6-27B,direct,non-reasoning,2.0,2.1,0
Qwen-3.6-27B,direct,non-reasoning,2.1,2.2,0
Qwen-3.6-27B,direct,non-reasoning,2.2,2.3,0
Qwen-3.6-27B,direct,non-reasoning,2.3,2.4,0
Qwen-3.6-27B,direct,non-reasoning,2.4,2.5,0
Qwen-3.6-27B,direct,non-reasoning,2.5,2.6,1
Qwen-3.6-27B,direct,non-reasoning,2.6,2.7,14
Qwen-3.6-27B,direct,non-reasoning,2.7,2.8,58
Qwen-3.6-27B,direct,non-reasoning,2.8,2.9,102
Qwen-3.6-27B,direct,non-reasoning,2.9,3.0,204
Qwen-3.6-27B,direct,non-reasoning,3.0,3.1,212
Qwen-3.6-27B,direct,non-reasoning,3.1,3.2,185
Qwen-3.6-27B,direct,non-reasoning,3.2,3.3,134
Qwen-3.6-27B,direct,non-reasoning,3.3,3.4,97
Qwen-3.6-27B,direct,non-reasoning,3.4,3.5,85
Qwen-3.6-27B,direct,non-reasoning,3.5,3.6,74
Qwen-3.6-27B,direct,non-reasoning,3.6,3.7,69
Qwen-3.6-27B,direct,non-reasoning,3.7,3.8,36
Qwen-3.6-27B,direct,non-reasoning,3.8,3.9,26
Qwen-3.6-27B,direct,non-reasoning,3.9,4.0,11
Qwen-3.6-27B,direct,non-reasoning,4.0,4.1,0
Qwen-3.6-27B,direct,non-reasoning,4.1,4.2,0
Qwen-3.6-27B,direct,non-reasoning,4.2,4.3,0
Qwen-3.6-27B,direct,non-reasoning,4.3,4.4,0
Qwen-3.6-27B,direct,non-reasoning,4.4,4.5,0
Qwen-3.6-27B,direct,non-reasoning,4.5,4.6,0
Qwen-3.6-27B,direct,non-reasoning,4.6,4.7,0
Qwen-3.6-27B,direct,non-reasoning,4.7,4.8,0
Qwen-3.6-27B,direct,non-reasoning,4.8,4.9,0
Qwen-3.6-27B,direct,non-reasoning,4.9,5.0,0
Qwen-3.6-27B,direct,non-reasoning,5.0,5.1,0
Qwen-3.6-27B,direct,non-reasoning,5.1,5.2,0
Qwen-3.6-27B,direct,non-reasoning,5.2,5.3,0
Qwen-3.6-27B,direct,non-reasoning,5.3,5.4,0
Qwen-3.6-27B,direct,non-reasoning,5.4,5.5,0
Qwen-3.6-27B,direct,non-reasoning,5.5,5.6,0
