id,difficulty,solved_by,DeepSeek-V4-flash (reasoning),DeepSeek-V4-flash,DeepSeek-V4-pro (reasoning),DeepSeek-V4-pro,Gemini-3.1-Pro (reasoning),gpt-5.5 (reasoning),gpt-5.5,Kimi K2.6 (reasoning),Kimi K2.6,Qwen-2.5-72B,Qwen-3.5-397B (reasoning),Qwen-3.5-397B,Qwen-3.5-9B (reasoning),Qwen-3.5-9B,Qwen-3.6-27B (reasoning),Qwen-3.6-27B
p_89,medium,13,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
4.6,medium,13,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
6.6,medium,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
dn_6.2,medium,13,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
dn_6.27,medium,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
dn_9.17,medium,13,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
ca_15.7,medium,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
7.4,high,13,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
10.3,high,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
2.7,high,13,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
snp_56,high,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
jacob_4.8,high,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
holton_56,high,13,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
3.11,high,13,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
ry_4.3,high,13,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1
ry_12.5,high,13,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
ry_9.2,high,13,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
fp_11.1,high,13,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
jacob_2.2,high,13,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
4.3,medium,12,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
air_103,medium,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
p_84,medium,12,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
snp_6,medium,12,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
dn_10.44,medium,12,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1
dn_15.19,medium,12,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0
jacobson_2.16,medium,12,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
air_139,high,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
air_182,high,12,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
air_220,high,12,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
2.13,high,12,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1
p_99,high,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
snp_43,high,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
snp_22,high,12,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1
holton_60,high,12,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1
ry_8.1,high,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
dn_10.39,high,12,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
jacob_6.8,high,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
jacobson_18.1,high,12,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0
p_12,medium,11,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0
p_113,medium,11,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
ry_6.10,medium,11,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
ry_13.7,medium,11,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
ca_5.3,medium,11,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1
holton_39,medium,11,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0
air_149,high,11,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1
snp_85,high,11,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
holton_16,high,11,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0
holton_8,high,11,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
3.8,high,11,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0
7.5,high,11,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1
7.6,high,11,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1
13.5,high,11,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
jacob_10.3,high,11,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1
snp_16,high,11,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1
air_228,medium,10,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0
ca_3.9,medium,10,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1
dn_15.6,medium,10,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
snp_45,high,10,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0
holton_44,high,10,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0
jacobson_4.6,high,10,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1
air_167,medium,9,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
air_289,medium,9,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0
turner_23,medium,9,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0
fp_6.1,medium,9,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
air_154,high,9,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0
snp_49,high,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
holton_50,high,9,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0
5.11,high,9,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
snp_94,high,9,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
ry_7.2,high,9,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1
ry_10.2,high,9,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1
ry_11.1,high,9,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
fp_7.1,high,9,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1
ry_14.2,high,9,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0
jacobson_18.8(a),high,9,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
holton_5,medium,8,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
holton_11,medium,8,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0
6.9,high,8,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1
holton_22,high,8,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0
dn_6.6,high,8,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0
jacob_6.4,high,8,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0
air_208,medium,7,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
jacob_13.2,high,7,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0
air_247,high,7,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
jacobson_9.2,high,7,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0
air_201,medium,6,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0
fp_2.2,medium,6,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
dn_8.22,high,6,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0
dn_6.31,high,6,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0
holton_59,high,6,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0
p_78,medium,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
holton_62,high,5,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
dn_10.51,high,5,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
ry_6.2,high,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
jacobson_14.1,high,5,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
ca_15.1,high,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ry_7.7,high,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
jacob_5.1,high,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
5.3,high,4,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
air_248,medium,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
air_346,medium,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
air_369,high,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
dn_6.12,high,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
dn_15.2,high,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
jacob_10.6,high,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2.10,high,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4.5,high,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
jacob_10.9,medium,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.4,high,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ry_4.6,high,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dn_6.8,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
